C	16.35
D	18.35
E	20.60
F	21.83
G	24.50
A	27.50
B	30.87
C	32.70
D	36.71
E	41.20
F	43.65
G	49.00
A	55.00
B	61.74
C	65.41
D	73.42
E	82.41
F	87.31
G	98.00
A	110.00
B	123.47
C	130.81
D	146.83
E	164.81
F	174.61
G	196.00
A	220.00
B	246.94
C	261.63
D	293.66
E	329.63
F	349.23
G	392.00
A	440.00
B	493.88
C	523.25
D	587.33
E	659.25
F	698.46
G	783.99
A	880.00
B	987.77
C	1046.50
D	1174.66
E	1318.51
F	1396.91
G	1567.98
A	1760.00
B	1975.53
C	2093.00
D	2349.32
E	2637.02
F	2793.83
G	3135.96
A	3520.00
B	3951.07
C	4186.01
D	4698.63
E	5274.04
F	5587.65
G	6271.93
A	7040.00
B	7902.13
